,relevent_experience,company_size,training_hours
1616,No relevent experience,no experience,56
1617,Has relevent experience,100-500,100
1618,Has relevent experience,50-99,22
1619,No relevent experience,1000-4999,85
1620,No relevent experience,no experience,75
1621,No relevent experience,10000+,43
1622,Has relevent experience,50-99,2
1623,Has relevent experience,5000-9999,43
1624,Has relevent experience,<10,35
1625,Has relevent experience,100-500,29
1626,Has relevent experience,no experience,48
1627,No relevent experience,no experience,21
1628,Has relevent experience,no experience,50
1629,Has relevent experience,5000-9999,78
1630,Has relevent experience,50-99,86
1631,No relevent experience,50-99,39
1632,No relevent experience,no experience,9
1633,Has relevent experience,500-999,104
1634,Has relevent experience,100-500,100
1635,Has relevent experience,50-99,97
1636,Has relevent experience,5000-9999,68
1637,Has relevent experience,no experience,31
1638,Has relevent experience,50-99,36
1639,Has relevent experience,no experience,83
1640,Has relevent experience,1000-4999,29
1641,No relevent experience,10/49,5
1642,Has relevent experience,50-99,108
1643,No relevent experience,<10,143
1644,Has relevent experience,50-99,202
1645,Has relevent experience,10000+,53
1646,Has relevent experience,500-999,4
1647,No relevent experience,<10,83
1648,Has relevent experience,10000+,102
1649,Has relevent experience,10000+,210
1650,Has relevent experience,50-99,34
1651,Has relevent experience,<10,76
1652,Has relevent experience,100-500,4
1653,No relevent experience,no experience,140
1654,No relevent experience,50-99,136
1655,No relevent experience,no experience,79
1656,Has relevent experience,10000+,8
1657,No relevent experience,no experience,105
1658,Has relevent experience,no experience,33
1659,No relevent experience,no experience,96
1660,Has relevent experience,100-500,9
1661,Has relevent experience,100-500,17
1662,No relevent experience,5000-9999,63
1663,No relevent experience,10000+,168
1664,Has relevent experience,no experience,54
1665,Has relevent experience,10000+,13
1666,Has relevent experience,10000+,110
1667,Has relevent experience,1000-4999,71
1668,No relevent experience,5000-9999,12
1669,Has relevent experience,no experience,43
1670,Has relevent experience,no experience,35
1671,Has relevent experience,1000-4999,43
1672,Has relevent experience,500-999,30
1673,Has relevent experience,10/49,150
1674,No relevent experience,10/49,124
1675,Has relevent experience,50-99,57
1676,Has relevent experience,no experience,5
1677,Has relevent experience,10/49,50
1678,No relevent experience,no experience,122
1679,No relevent experience,100-500,28
1680,Has relevent experience,50-99,111
1681,Has relevent experience,50-99,66
1682,No relevent experience,10000+,6
1683,No relevent experience,no experience,174
1684,Has relevent experience,50-99,106
1685,Has relevent experience,10/49,14
1686,Has relevent experience,10/49,28
1687,No relevent experience,<10,35
1688,Has relevent experience,<10,168
1689,Has relevent experience,50-99,112
1690,Has relevent experience,50-99,312
1691,No relevent experience,10/49,14
1692,Has relevent experience,10000+,95
1693,Has relevent experience,no experience,50
1694,Has relevent experience,50-99,103
1695,No relevent experience,100-500,4
1696,Has relevent experience,10/49,200
1697,No relevent experience,no experience,12
1698,No relevent experience,no experience,56
1699,Has relevent experience,50-99,53
1700,Has relevent experience,50-99,59
1701,Has relevent experience,50-99,14
1702,Has relevent experience,1000-4999,142
1703,Has relevent experience,no experience,17
1704,Has relevent experience,10000+,14
1705,No relevent experience,100-500,80
1706,No relevent experience,10000+,13
1707,No relevent experience,no experience,3
1708,No relevent experience,no experience,73
1709,Has relevent experience,500-999,48
1710,Has relevent experience,10000+,50
1711,Has relevent experience,10/49,14
1712,Has relevent experience,50-99,96
1713,No relevent experience,no experience,156
1714,Has relevent experience,100-500,3
1715,Has relevent experience,no experience,4
1716,Has relevent experience,50-99,12
1717,Has relevent experience,10000+,17
1718,Has relevent experience,<10,63
1719,Has relevent experience,10000+,22
1720,Has relevent experience,10/49,52
1721,No relevent experience,10000+,34
1722,Has relevent experience,no experience,79
1723,Has relevent experience,10000+,107
1724,Has relevent experience,50-99,92
1725,Has relevent experience,1000-4999,14
1726,No relevent experience,no experience,46
1727,Has relevent experience,10000+,16
1728,Has relevent experience,<10,196
1729,Has relevent experience,100-500,42
1730,Has relevent experience,10000+,60
1731,Has relevent experience,10000+,138
1732,Has relevent experience,50-99,68
1733,No relevent experience,no experience,6
1734,Has relevent experience,no experience,62
1735,Has relevent experience,50-99,107
1736,Has relevent experience,1000-4999,55
1737,Has relevent experience,10/49,32
1738,Has relevent experience,100-500,174
1739,Has relevent experience,no experience,34
1740,Has relevent experience,no experience,3
1741,No relevent experience,no experience,20
1742,Has relevent experience,500-999,94
1743,No relevent experience,10000+,20
1744,Has relevent experience,50-99,6
1745,Has relevent experience,500-999,112
1746,Has relevent experience,<10,45
1747,No relevent experience,no experience,12
1748,Has relevent experience,<10,134
1749,Has relevent experience,1000-4999,9
1750,Has relevent experience,1000-4999,48
1751,Has relevent experience,500-999,92
1752,Has relevent experience,100-500,160
1753,Has relevent experience,50-99,40
1754,Has relevent experience,no experience,105
1755,Has relevent experience,100-500,160
1756,Has relevent experience,50-99,103
1757,No relevent experience,no experience,78
1758,Has relevent experience,1000-4999,9
1759,Has relevent experience,50-99,40
1760,Has relevent experience,no experience,14
1761,Has relevent experience,100-500,198
1762,Has relevent experience,no experience,3
1763,No relevent experience,no experience,17
1764,No relevent experience,no experience,37
1765,Has relevent experience,100-500,16
1766,Has relevent experience,50-99,13
1767,Has relevent experience,10000+,14
1768,Has relevent experience,no experience,155
1769,Has relevent experience,500-999,77
1770,Has relevent experience,100-500,36
1771,Has relevent experience,50-99,42
1772,Has relevent experience,<10,10
1773,No relevent experience,no experience,14
1774,No relevent experience,no experience,16
1775,Has relevent experience,100-500,116
1776,No relevent experience,no experience,310
1777,No relevent experience,no experience,53
1778,Has relevent experience,100-500,70
1779,Has relevent experience,50-99,22
1780,Has relevent experience,500-999,41
1781,Has relevent experience,50-99,66
1782,No relevent experience,no experience,13
1783,Has relevent experience,no experience,47
1784,No relevent experience,no experience,106
1785,Has relevent experience,100-500,24
1786,Has relevent experience,no experience,11
1787,Has relevent experience,<10,146
1788,Has relevent experience,50-99,40
1789,Has relevent experience,50-99,19
1790,Has relevent experience,no experience,34
1791,Has relevent experience,50-99,16
1792,Has relevent experience,50-99,51
1793,No relevent experience,no experience,142
1794,No relevent experience,no experience,88
1795,Has relevent experience,100-500,76
1796,No relevent experience,no experience,59
1797,No relevent experience,50-99,43
1798,Has relevent experience,10/49,22
1799,No relevent experience,<10,131
1800,Has relevent experience,50-99,3
1801,No relevent experience,no experience,16
1802,No relevent experience,<10,59
1803,No relevent experience,no experience,110
1804,Has relevent experience,10000+,34
1805,Has relevent experience,10/49,16
1806,Has relevent experience,50-99,100
1807,No relevent experience,1000-4999,19
1808,Has relevent experience,100-500,34
1809,No relevent experience,100-500,43
1810,Has relevent experience,10/49,48
1811,Has relevent experience,100-500,12
1812,Has relevent experience,50-99,262
1813,Has relevent experience,10/49,21
1814,No relevent experience,no experience,190
1815,Has relevent experience,10/49,41
1816,Has relevent experience,100-500,222
1817,No relevent experience,10000+,91
1818,No relevent experience,100-500,14
1819,Has relevent experience,500-999,98
1820,Has relevent experience,100-500,19
1821,Has relevent experience,1000-4999,18
1822,No relevent experience,10000+,3
1823,No relevent experience,no experience,80
1824,Has relevent experience,50-99,87
1825,Has relevent experience,no experience,56
1826,Has relevent experience,10000+,328
1827,Has relevent experience,10000+,17
1828,No relevent experience,100-500,74
1829,Has relevent experience,10000+,37
1830,No relevent experience,no experience,52
1831,Has relevent experience,50-99,21
1832,Has relevent experience,no experience,300
1833,Has relevent experience,10/49,92
1834,Has relevent experience,<10,13
1835,Has relevent experience,no experience,161
1836,Has relevent experience,100-500,34
1837,Has relevent experience,10/49,8
1838,Has relevent experience,100-500,226
1839,No relevent experience,no experience,65
1840,Has relevent experience,100-500,146
1841,Has relevent experience,<10,34
1842,Has relevent experience,100-500,21
1843,Has relevent experience,no experience,84
1844,No relevent experience,10000+,45
1845,No relevent experience,no experience,36
1846,Has relevent experience,10000+,113
1847,No relevent experience,no experience,150
1848,Has relevent experience,no experience,6
1849,No relevent experience,100-500,4
1850,Has relevent experience,50-99,198
1851,Has relevent experience,no experience,135
1852,Has relevent experience,100-500,40
1853,Has relevent experience,50-99,6
1854,Has relevent experience,1000-4999,58
1855,Has relevent experience,no experience,88
1856,Has relevent experience,<10,29
1857,Has relevent experience,50-99,168
1858,Has relevent experience,1000-4999,16
1859,Has relevent experience,<10,192
1860,Has relevent experience,10000+,36
1861,Has relevent experience,50-99,35
1862,Has relevent experience,10000+,53
1863,No relevent experience,no experience,74
1864,No relevent experience,50-99,88
1865,Has relevent experience,10000+,43
1866,Has relevent experience,no experience,41
1867,Has relevent experience,50-99,33
1868,No relevent experience,no experience,2
1869,Has relevent experience,no experience,25
1870,No relevent experience,no experience,22
1871,No relevent experience,100-500,8
1872,No relevent experience,no experience,42
1873,No relevent experience,no experience,72
1874,Has relevent experience,no experience,149
1875,Has relevent experience,100-500,49
1876,Has relevent experience,no experience,82
1877,Has relevent experience,no experience,50
1878,Has relevent experience,<10,62
1879,Has relevent experience,100-500,212
1880,Has relevent experience,10/49,176
1881,No relevent experience,500-999,8
1882,Has relevent experience,<10,24
1883,No relevent experience,no experience,31
1884,No relevent experience,no experience,8
1885,Has relevent experience,no experience,99
1886,Has relevent experience,<10,89
1887,No relevent experience,50-99,32
1888,No relevent experience,no experience,156
1889,Has relevent experience,no experience,35
1890,No relevent experience,1000-4999,26
1891,No relevent experience,no experience,218
1892,Has relevent experience,100-500,6
1893,Has relevent experience,no experience,54
1894,No relevent experience,no experience,14
1895,No relevent experience,no experience,27
1896,Has relevent experience,<10,19
1897,Has relevent experience,10000+,47
1898,No relevent experience,no experience,98
1899,Has relevent experience,no experience,40
1900,Has relevent experience,50-99,39
1901,Has relevent experience,no experience,52
1902,Has relevent experience,500-999,28
1903,Has relevent experience,1000-4999,182
1904,No relevent experience,100-500,44
1905,No relevent experience,no experience,35
1906,Has relevent experience,no experience,29
1907,No relevent experience,no experience,78
1908,Has relevent experience,<10,125
1909,Has relevent experience,no experience,35
1910,Has relevent experience,50-99,69
1911,Has relevent experience,100-500,52
1912,Has relevent experience,<10,90
1913,Has relevent experience,no experience,56
1914,Has relevent experience,no experience,153
1915,Has relevent experience,100-500,40
1916,Has relevent experience,10/49,47
1917,Has relevent experience,1000-4999,17
1918,Has relevent experience,no experience,51
1919,Has relevent experience,1000-4999,23
1920,Has relevent experience,no experience,80
1921,No relevent experience,5000-9999,19
1922,Has relevent experience,5000-9999,7
1923,Has relevent experience,1000-4999,100
1924,No relevent experience,100-500,15
1925,Has relevent experience,50-99,9
1926,Has relevent experience,1000-4999,36
1927,Has relevent experience,no experience,72
1928,Has relevent experience,no experience,6
1929,Has relevent experience,100-500,25
1930,Has relevent experience,<10,41
1931,Has relevent experience,no experience,42
1932,Has relevent experience,no experience,190
1933,Has relevent experience,100-500,51
1934,Has relevent experience,no experience,162
1935,No relevent experience,no experience,46
1936,Has relevent experience,10000+,35
1937,Has relevent experience,500-999,70
1938,Has relevent experience,50-99,50
1939,Has relevent experience,1000-4999,16
1940,No relevent experience,50-99,6
1941,Has relevent experience,10000+,9
1942,Has relevent experience,<10,34
1943,Has relevent experience,1000-4999,48
1944,Has relevent experience,<10,98
1945,Has relevent experience,no experience,61
1946,No relevent experience,no experience,74
1947,Has relevent experience,<10,17
1948,No relevent experience,no experience,156
1949,Has relevent experience,no experience,8
1950,Has relevent experience,no experience,45
1951,No relevent experience,10/49,43
1952,Has relevent experience,no experience,78
1953,Has relevent experience,10/49,28
1954,Has relevent experience,10/49,44
1955,Has relevent experience,100-500,100
1956,Has relevent experience,50-99,116
1957,Has relevent experience,10000+,48
1958,No relevent experience,500-999,30
1959,Has relevent experience,<10,17
1960,Has relevent experience,10/49,53
1961,Has relevent experience,no experience,34
1962,Has relevent experience,50-99,21
1963,Has relevent experience,50-99,148
1964,Has relevent experience,<10,54
1965,Has relevent experience,1000-4999,26
1966,Has relevent experience,<10,44
1967,Has relevent experience,50-99,86
1968,Has relevent experience,100-500,32
1969,Has relevent experience,100-500,35
1970,Has relevent experience,50-99,23
1971,Has relevent experience,10000+,7
1972,Has relevent experience,no experience,6
1973,Has relevent experience,10000+,83
1974,No relevent experience,10000+,24
1975,Has relevent experience,500-999,96
1976,No relevent experience,no experience,90
1977,Has relevent experience,100-500,89
1978,Has relevent experience,500-999,10
1979,No relevent experience,no experience,3
1980,Has relevent experience,500-999,155
1981,Has relevent experience,no experience,16
1982,No relevent experience,no experience,35
1983,No relevent experience,10000+,131
1984,Has relevent experience,10/49,160
1985,Has relevent experience,500-999,47
1986,Has relevent experience,10/49,30
1987,Has relevent experience,100-500,68
1988,Has relevent experience,<10,57
1989,No relevent experience,no experience,47
1990,No relevent experience,no experience,32
1991,Has relevent experience,no experience,108
1992,Has relevent experience,50-99,151
1993,Has relevent experience,100-500,53
1994,Has relevent experience,100-500,8
1995,No relevent experience,no experience,15
1996,No relevent experience,no experience,77
1997,No relevent experience,10/49,74
1998,No relevent experience,1000-4999,14
1999,Has relevent experience,10/49,62
2000,Has relevent experience,500-999,164
2001,Has relevent experience,100-500,26
2002,Has relevent experience,100-500,29
2003,Has relevent experience,100-500,73
2004,Has relevent experience,50-99,12
2005,No relevent experience,1000-4999,48
2006,Has relevent experience,10000+,138
2007,Has relevent experience,no experience,73
2008,Has relevent experience,10/49,64
2009,No relevent experience,10000+,54
2010,No relevent experience,no experience,78
2011,Has relevent experience,50-99,52
2012,Has relevent experience,50-99,18
2013,No relevent experience,5000-9999,67
2014,Has relevent experience,10/49,232
2015,No relevent experience,no experience,13
2016,Has relevent experience,10/49,29
2017,Has relevent experience,10/49,38
2018,Has relevent experience,<10,12
2019,Has relevent experience,no experience,65
2020,Has relevent experience,100-500,14
2021,No relevent experience,no experience,49
2022,Has relevent experience,50-99,25
2023,Has relevent experience,100-500,82
2024,Has relevent experience,100-500,77
2025,Has relevent experience,10000+,6
2026,Has relevent experience,10/49,81
2027,Has relevent experience,10/49,6
2028,No relevent experience,1000-4999,53
2029,Has relevent experience,5000-9999,15
2030,Has relevent experience,100-500,28
2031,No relevent experience,no experience,11
2032,No relevent experience,10000+,24
2033,Has relevent experience,100-500,39
2034,Has relevent experience,100-500,53
2035,Has relevent experience,50-99,84
2036,No relevent experience,no experience,29
2037,No relevent experience,10000+,14
2038,Has relevent experience,10000+,28
2039,No relevent experience,no experience,75
2040,Has relevent experience,50-99,30
2041,Has relevent experience,10000+,154
2042,Has relevent experience,50-99,85
2043,No relevent experience,500-999,54
2044,Has relevent experience,no experience,11
2045,No relevent experience,1000-4999,8
2046,Has relevent experience,50-99,11
2047,Has relevent experience,100-500,162
2048,Has relevent experience,50-99,63
2049,No relevent experience,no experience,29
2050,Has relevent experience,no experience,64
2051,Has relevent experience,50-99,8
2052,No relevent experience,no experience,280
2053,Has relevent experience,no experience,18
2054,Has relevent experience,no experience,32
2055,Has relevent experience,no experience,69
2056,No relevent experience,50-99,336
2057,Has relevent experience,<10,13
2058,No relevent experience,no experience,41
2059,No relevent experience,no experience,20
2060,Has relevent experience,no experience,33
2061,Has relevent experience,100-500,60
2062,Has relevent experience,<10,14
2063,No relevent experience,<10,22
2064,Has relevent experience,no experience,24
2065,Has relevent experience,100-500,40
2066,No relevent experience,50-99,64
2067,Has relevent experience,10000+,56
2068,Has relevent experience,500-999,46
2069,No relevent experience,no experience,12
2070,No relevent experience,no experience,12
2071,Has relevent experience,50-99,45
2072,Has relevent experience,<10,144
2073,Has relevent experience,no experience,50
2074,Has relevent experience,50-99,29
2075,Has relevent experience,500-999,112
2076,No relevent experience,no experience,86
2077,Has relevent experience,10000+,22
2078,Has relevent experience,50-99,148
2079,No relevent experience,100-500,92
2080,Has relevent experience,100-500,5
2081,Has relevent experience,50-99,112
2082,Has relevent experience,50-99,94
2083,Has relevent experience,100-500,114
2084,Has relevent experience,50-99,17
2085,Has relevent experience,100-500,11
2086,No relevent experience,no experience,55
2087,Has relevent experience,10000+,26
2088,Has relevent experience,<10,30
2089,Has relevent experience,1000-4999,192
2090,No relevent experience,no experience,30
2091,Has relevent experience,500-999,24
2092,No relevent experience,no experience,17
2093,Has relevent experience,100-500,28
2094,Has relevent experience,50-99,82
2095,Has relevent experience,100-500,30
2096,Has relevent experience,no experience,43
2097,Has relevent experience,100-500,70
2098,Has relevent experience,50-99,50
2099,Has relevent experience,500-999,125
2100,Has relevent experience,1000-4999,17
2101,Has relevent experience,<10,34
2102,Has relevent experience,100-500,83
2103,Has relevent experience,100-500,6
2104,No relevent experience,10000+,3
2105,Has relevent experience,<10,45
2106,No relevent experience,no experience,46
2107,No relevent experience,1000-4999,17
2108,Has relevent experience,no experience,77
2109,Has relevent experience,<10,67
2110,No relevent experience,100-500,25
2111,Has relevent experience,1000-4999,174
2112,No relevent experience,no experience,308
2113,Has relevent experience,<10,9
2114,No relevent experience,no experience,42
2115,No relevent experience,no experience,100
2116,No relevent experience,<10,98
2117,No relevent experience,no experience,168
2118,Has relevent experience,<10,90
2119,Has relevent experience,10000+,143
2120,No relevent experience,no experience,74
2121,Has relevent experience,50-99,89
2122,Has relevent experience,no experience,64
2123,Has relevent experience,10000+,16
2124,Has relevent experience,<10,61
2125,Has relevent experience,50-99,27
2126,Has relevent experience,1000-4999,33
2127,Has relevent experience,50-99,31
2128,Has relevent experience,1000-4999,107
2129,Has relevent experience,50-99,134
2130,Has relevent experience,1000-4999,84
2131,No relevent experience,no experience,91
2132,Has relevent experience,no experience,112
2133,No relevent experience,no experience,44
2134,Has relevent experience,50-99,59
2135,Has relevent experience,no experience,161
2136,Has relevent experience,10000+,72
2137,Has relevent experience,50-99,39
2138,No relevent experience,500-999,103
2139,No relevent experience,no experience,39
2140,Has relevent experience,50-99,84
2141,Has relevent experience,100-500,27
2142,Has relevent experience,1000-4999,33
2143,Has relevent experience,100-500,28
2144,Has relevent experience,1000-4999,33
2145,Has relevent experience,50-99,92
2146,No relevent experience,no experience,17
2147,Has relevent experience,100-500,51
2148,Has relevent experience,no experience,35
2149,Has relevent experience,no experience,28
2150,No relevent experience,no experience,23
2151,Has relevent experience,10000+,41
2152,Has relevent experience,<10,21
2153,Has relevent experience,50-99,35
2154,No relevent experience,no experience,52
2155,Has relevent experience,1000-4999,68
2156,Has relevent experience,100-500,228
2157,No relevent experience,no experience,50
2158,Has relevent experience,500-999,122
2159,No relevent experience,no experience,58
2160,No relevent experience,no experience,176
2161,Has relevent experience,<10,3
2162,Has relevent experience,50-99,147
2163,No relevent experience,no experience,39
2164,Has relevent experience,50-99,47
2165,No relevent experience,no experience,49
2166,Has relevent experience,50-99,13
2167,Has relevent experience,10000+,298
2168,Has relevent experience,500-999,37
2169,No relevent experience,no experience,40
2170,Has relevent experience,10000+,86
2171,Has relevent experience,no experience,36
2172,Has relevent experience,5000-9999,11
2173,Has relevent experience,50-99,53
2174,Has relevent experience,100-500,84
2175,Has relevent experience,<10,15
2176,Has relevent experience,no experience,104
2177,Has relevent experience,10/49,19
2178,No relevent experience,no experience,96
2179,Has relevent experience,no experience,54
2180,Has relevent experience,100-500,116
2181,Has relevent experience,<10,4
2182,Has relevent experience,50-99,96
2183,Has relevent experience,no experience,67
2184,Has relevent experience,10000+,59
2185,Has relevent experience,no experience,214
2186,Has relevent experience,<10,63
2187,Has relevent experience,<10,33
2188,No relevent experience,no experience,55
2189,No relevent experience,100-500,17
2190,No relevent experience,no experience,34
2191,Has relevent experience,100-500,101
2192,Has relevent experience,<10,50
2193,Has relevent experience,500-999,96
2194,Has relevent experience,no experience,61
2195,No relevent experience,50-99,51
2196,Has relevent experience,1000-4999,26
2197,No relevent experience,no experience,22
2198,Has relevent experience,1000-4999,14
2199,Has relevent experience,500-999,18
2200,Has relevent experience,10000+,38
2201,Has relevent experience,500-999,99
2202,No relevent experience,100-500,7
2203,Has relevent experience,no experience,154
2204,Has relevent experience,50-99,8
2205,Has relevent experience,10/49,7
2206,No relevent experience,no experience,6
2207,Has relevent experience,100-500,242
2208,Has relevent experience,10000+,109
2209,Has relevent experience,100-500,50
2210,No relevent experience,no experience,106
2211,Has relevent experience,50-99,9
2212,Has relevent experience,100-500,48
2213,Has relevent experience,no experience,22
2214,Has relevent experience,10/49,22
2215,No relevent experience,no experience,43
2216,Has relevent experience,50-99,23
2217,Has relevent experience,5000-9999,92
2218,Has relevent experience,no experience,57
2219,Has relevent experience,50-99,163
2220,No relevent experience,no experience,48
2221,Has relevent experience,10000+,78
2222,Has relevent experience,50-99,11
2223,Has relevent experience,1000-4999,46
2224,Has relevent experience,no experience,91
2225,Has relevent experience,50-99,59
2226,Has relevent experience,no experience,51
2227,Has relevent experience,no experience,63
2228,Has relevent experience,<10,90
2229,Has relevent experience,1000-4999,77
2230,Has relevent experience,1000-4999,126
2231,No relevent experience,no experience,56
2232,No relevent experience,no experience,34
2233,Has relevent experience,1000-4999,34
2234,Has relevent experience,1000-4999,43
2235,Has relevent experience,500-999,70
2236,Has relevent experience,50-99,6
2237,Has relevent experience,10000+,42
2238,Has relevent experience,100-500,150
2239,Has relevent experience,no experience,102
2240,Has relevent experience,no experience,39
2241,No relevent experience,no experience,196
2242,No relevent experience,10/49,316
2243,Has relevent experience,1000-4999,27
2244,Has relevent experience,50-99,8
2245,Has relevent experience,50-99,18
2246,Has relevent experience,50-99,29
2247,Has relevent experience,<10,21
2248,Has relevent experience,1000-4999,86
2249,No relevent experience,no experience,74
2250,Has relevent experience,no experience,11
2251,No relevent experience,no experience,6
2252,Has relevent experience,50-99,13
2253,Has relevent experience,10/49,52
2254,Has relevent experience,50-99,3
2255,Has relevent experience,no experience,128
2256,Has relevent experience,<10,88
2257,Has relevent experience,100-500,52
2258,Has relevent experience,1000-4999,79
2259,Has relevent experience,no experience,24
2260,Has relevent experience,10/49,292
2261,Has relevent experience,10/49,4
2262,Has relevent experience,50-99,42
2263,Has relevent experience,10000+,54
2264,No relevent experience,no experience,78
2265,No relevent experience,50-99,316
2266,No relevent experience,50-99,13
2267,Has relevent experience,100-500,106
2268,Has relevent experience,no experience,75
2269,Has relevent experience,1000-4999,85
2270,No relevent experience,1000-4999,128
2271,Has relevent experience,<10,20
2272,Has relevent experience,5000-9999,135
2273,Has relevent experience,10000+,21
2274,Has relevent experience,500-999,3
2275,No relevent experience,no experience,224
2276,Has relevent experience,100-500,18
2277,Has relevent experience,100-500,83
2278,Has relevent experience,10/49,74
2279,Has relevent experience,50-99,112
2280,No relevent experience,no experience,165
2281,Has relevent experience,no experience,78
2282,Has relevent experience,100-500,28
2283,No relevent experience,no experience,112
2284,Has relevent experience,50-99,19
2285,Has relevent experience,no experience,9
2286,Has relevent experience,50-99,23
2287,Has relevent experience,<10,66
2288,No relevent experience,no experience,46
2289,Has relevent experience,50-99,54
2290,Has relevent experience,10000+,145
2291,Has relevent experience,10/49,29
2292,No relevent experience,no experience,106
2293,Has relevent experience,10000+,79
2294,Has relevent experience,50-99,55
2295,Has relevent experience,10/49,83
2296,Has relevent experience,10/49,43
2297,Has relevent experience,50-99,81
2298,Has relevent experience,<10,21
2299,Has relevent experience,100-500,18
2300,Has relevent experience,100-500,77
2301,Has relevent experience,100-500,27
2302,Has relevent experience,1000-4999,9
2303,No relevent experience,<10,15
2304,Has relevent experience,1000-4999,94
2305,No relevent experience,no experience,18
2306,Has relevent experience,1000-4999,105
2307,No relevent experience,1000-4999,15
2308,Has relevent experience,100-500,3
2309,Has relevent experience,50-99,57
2310,Has relevent experience,5000-9999,7
2311,Has relevent experience,no experience,104
2312,Has relevent experience,100-500,2
2313,Has relevent experience,10/49,17
2314,No relevent experience,50-99,44
2315,Has relevent experience,100-500,94
2316,Has relevent experience,1000-4999,210
2317,No relevent experience,50-99,121
2318,Has relevent experience,50-99,86
2319,Has relevent experience,50-99,254
2320,Has relevent experience,5000-9999,90
2321,Has relevent experience,no experience,56
2322,Has relevent experience,100-500,18
2323,No relevent experience,no experience,52
2324,No relevent experience,10000+,43
2325,Has relevent experience,100-500,43
2326,Has relevent experience,10000+,27
2327,Has relevent experience,100-500,43
2328,No relevent experience,no experience,19
2329,Has relevent experience,no experience,160
2330,Has relevent experience,50-99,15
2331,Has relevent experience,no experience,15
2332,Has relevent experience,<10,156
2333,No relevent experience,no experience,18
2334,No relevent experience,no experience,61
2335,Has relevent experience,no experience,258
2336,Has relevent experience,10000+,96
2337,Has relevent experience,500-999,14
2338,Has relevent experience,5000-9999,62
2339,Has relevent experience,50-99,12
2340,Has relevent experience,100-500,42
2341,Has relevent experience,5000-9999,92
2342,No relevent experience,no experience,20
2343,Has relevent experience,10000+,34
2344,Has relevent experience,500-999,47
2345,Has relevent experience,50-99,61
2346,Has relevent experience,1000-4999,168
2347,Has relevent experience,10/49,50
2348,Has relevent experience,1000-4999,23
2349,No relevent experience,10000+,3
2350,Has relevent experience,50-99,30
2351,Has relevent experience,10/49,73
2352,Has relevent experience,no experience,37
2353,No relevent experience,no experience,8
2354,Has relevent experience,50-99,70
2355,Has relevent experience,<10,5
2356,Has relevent experience,10000+,7
2357,Has relevent experience,<10,86
2358,Has relevent experience,<10,12
2359,Has relevent experience,50-99,56
2360,No relevent experience,no experience,30
2361,No relevent experience,10/49,34
2362,Has relevent experience,<10,86
2363,Has relevent experience,50-99,232
2364,No relevent experience,1000-4999,90
2365,Has relevent experience,no experience,6
2366,No relevent experience,no experience,32
2367,Has relevent experience,100-500,22
2368,Has relevent experience,50-99,66
2369,No relevent experience,50-99,48
2370,Has relevent experience,1000-4999,130
2371,No relevent experience,no experience,100
2372,Has relevent experience,50-99,64
2373,Has relevent experience,500-999,28
2374,Has relevent experience,10000+,64
2375,Has relevent experience,no experience,21
2376,Has relevent experience,10/49,24
2377,No relevent experience,no experience,94
2378,No relevent experience,no experience,50
2379,Has relevent experience,50-99,92
2380,No relevent experience,no experience,40
2381,No relevent experience,no experience,15
2382,Has relevent experience,<10,18
2383,Has relevent experience,no experience,94
2384,Has relevent experience,10/49,44
2385,No relevent experience,no experience,105
2386,Has relevent experience,1000-4999,12
2387,Has relevent experience,10000+,9
2388,No relevent experience,no experience,79
2389,No relevent experience,100-500,70
2390,Has relevent experience,50-99,105
2391,No relevent experience,no experience,78
2392,Has relevent experience,no experience,6
2393,Has relevent experience,<10,27
2394,Has relevent experience,50-99,174
2395,Has relevent experience,500-999,212
2396,Has relevent experience,50-99,13
2397,Has relevent experience,10000+,41
2398,No relevent experience,no experience,4
2399,Has relevent experience,50-99,112
2400,Has relevent experience,50-99,88
2401,Has relevent experience,no experience,13
2402,No relevent experience,no experience,18
2403,Has relevent experience,50-99,85
2404,No relevent experience,no experience,102
2405,No relevent experience,no experience,42
2406,No relevent experience,no experience,35
2407,No relevent experience,no experience,42
2408,Has relevent experience,<10,2
2409,No relevent experience,no experience,5
2410,Has relevent experience,50-99,130
2411,Has relevent experience,no experience,47
2412,Has relevent experience,10000+,332
2413,Has relevent experience,10/49,85
2414,Has relevent experience,no experience,68
2415,Has relevent experience,no experience,113
2416,No relevent experience,10000+,24
2417,Has relevent experience,50-99,107
2418,Has relevent experience,500-999,26
2419,Has relevent experience,100-500,30
2420,Has relevent experience,500-999,21
2421,Has relevent experience,100-500,248
2422,No relevent experience,no experience,64
2423,No relevent experience,1000-4999,47
2424,Has relevent experience,50-99,155
2425,No relevent experience,no experience,78
2426,No relevent experience,no experience,18
2427,Has relevent experience,100-500,44
2428,Has relevent experience,<10,80
2429,Has relevent experience,100-500,55
2430,Has relevent experience,50-99,9
2431,Has relevent experience,no experience,91
2432,No relevent experience,500-999,80
2433,Has relevent experience,10000+,43
2434,Has relevent experience,10000+,109
2435,Has relevent experience,100-500,111
2436,Has relevent experience,no experience,75
2437,Has relevent experience,no experience,7
2438,Has relevent experience,1000-4999,88
2439,No relevent experience,no experience,140
2440,Has relevent experience,no experience,23
2441,Has relevent experience,<10,26
2442,No relevent experience,no experience,20
2443,Has relevent experience,no experience,45
2444,Has relevent experience,50-99,76
2445,No relevent experience,no experience,43
